Date,Temperature,Rainfall,Humidity,Day_Type,Previous_Demand,Water_Demand
2024-01-01,29.99,0.04,65.98,Weekday,10837.89,10837.89
2024-01-02,27.45,4.91,63.81,Weekday,10837.89,10773.79
2024-01-03,30.59,0.25,76.03,Weekday,10773.79,12417.8
2024-01-04,34.09,1.72,61.52,Weekday,12417.8,13007.24
2024-01-05,27.06,0.64,68.21,Weekday,13007.24,11027.5
2024-01-06,27.06,1.62,68.86,Weekend,11027.5,9939.12
2024-01-07,34.32,2.11,56.98,Weekend,9939.12,12102.73
2024-01-08,31.07,3.54,76.9,Weekday,12102.73,11442.1
2024-01-09,26.12,0.46,62.9,Weekday,11442.1,10886.44
2024-01-10,30.17,0.02,55.93,Weekday,10886.44,11942.43
2024-01-11,26.15,0.29,71.44,Weekday,11942.43,11081.09
2024-01-12,26.14,4.61,54.22,Weekday,11081.09,11243.72
2024-01-13,28.97,4.14,65.34,Weekend,11243.72,10478.39
2024-01-14,20.35,1.82,64.89,Weekend,10478.39,8238.46
2024-01-15,21.1,1.84,78.03,Weekday,8238.46,9370.6
2024-01-16,25.75,2.19,70.7,Weekday,9370.6,9981.99
2024-01-17,23.95,0.39,64.7,Weekday,9981.99,9997.9
2024-01-18,29.26,4.92,74.81,Weekday,9997.9,11048.15
2024-01-19,24.37,1.09,81.68,Weekday,11048.15,10097.93
2024-01-20,22.35,0.97,71.69,Weekend,10097.93,9006.11
2024-01-21,33.86,1.46,65.12,Weekend,9006.11,11551.85
2024-01-22,27.1,0.1,49.26,Weekday,11551.85,11352.84
2024-01-23,28.27,0.36,52.22,Weekday,11352.84,11288.49
2024-01-24,22.3,2.68,61.34,Weekday,11288.49,9608.14
2024-01-25,25.82,0.17,57.69,Weekday,9608.14,10593.42
2024-01-26,28.44,1.85,62.76,Weekday,10593.42,11259.61
2024-01-27,23.4,0.56,65.68,Weekend,11259.61,9501.5
2024-01-28,29.5,0.99,71.36,Weekend,9501.5,10486.66
2024-01-29,25.6,0.68,64.15,Weekday,10486.66,10397.42
